filename,has_solar
386_13_BROOK_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
924_89_DELTA_CRESCENT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1091_4_FIG_TREE_LANE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
366_15A_BRABHAM_GROVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
667_29_COACHWOOD_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1291_72_GREENFIELD_RISE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1710_UNIT_1_155_HUB_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
638_UNIT_13_8_CINNAMON_WAY_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1832_1_IONA_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
792_30_CROSSING_ROAD_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1514_3_HIGHWOOD_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
269_27_BANKSIA_ROAD_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1327_8_GREENVILLE_CLOSE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
299_13_BENNETT_CLOSE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1178_4_GLEN_EYRE_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
690_46_COACHWOOD_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1500_30_HIGHFIELD_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
446_2_BUDAPEST_ROAD_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
941_19_DEW_STREET_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1203_11_GRANDVIEW_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
19_UNIT_4_4_ABBARON_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1510_LOT_88_HIGHFIELD_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1028_7_EBOR_CRESCENT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
33_14_ABRAXAS_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
721_10_CORRO_STREET_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1456_8_HAVEN_ROAD_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1129_8_GEM_STREET_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1358_36_GREVILLEA_ROAD_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
767_9_CROSSDALE_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1430_10_HAVEN_ROAD_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
210_4_ASH_STREET_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1_UNIT_2_1_ABBARON_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
472_11_BUSHLAND_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
407_4_BROOKHAVEN_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1159_13_GLEN_EYRE_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
133_32_ALLMAN_CRESCENT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
2026_9_JORDAN_COURT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1808_32_IDLEWILD_AVENUE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1255_35_GREENFIELD_RISE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1017_11_EBOR_CRESCENT_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
1264_46_GREENFIELD_RISE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
676_37_COACHWOOD_DRIVE_ABERFOYLE_PARK_SOUTH_AUSTRALIA_5159_cropped.png,1
